,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
郵便局にて公債売出し,郵便,局,公債,売出し,,,,,,,,,,,,,,,,
公債売出し,公債,売出し,,,,,,,,,,,,,,,,,,
郵便局にて公債売出し,郵便,局,公債,売出し,,,,,,,,,,,,,,,,
四月より東北北海道飛行開始,東北,北海道,飛行,開始,,,,,,,,,,,,,,,,
小樽港,小樽,港,,,,,,,,,,,,,,,,,,
樺太庁鉄道,樺太,庁,鉄道,,,,,,,,,,,,,,,,,
日本郵船株式会社,日本,郵船,株式,会社,,,,,,,,,,,,,,,,
日本郵船株式会社,日本,郵船,株式,会社,,,,,,,,,,,,,,,,
海運報国,海運,報国,,,,,,,,,,,,,,,,,,
北日本汽船株式会社,北,日本,汽船,株式,会社,,,,,,,,,,,,,,,
around the world,around,the,world,,,,,,,,,,,,,,,,,
日本郵船株式会社,日本,郵船,株式,会社,,,,,,,,,,,,,,,,
近海郵船株式会社　[カレンダー],近海,郵船,株式,会社,カレンダー,,,,,,,,,,,,,,,
近海郵船株式会社　[カレンダー],近海,郵船,株式,会社,カレンダー,,,,,,,,,,,,,,,
近海郵船株式会社　[カレンダー],近海,郵船,株式,会社,カレンダー,,,,,,,,,,,,,,,
近海郵船株式会社　[カレンダー],近海,郵船,株式,会社,カレンダー,,,,,,,,,,,,,,,
札幌鉄道局,札幌,鉄道,局,,,,,,,,,,,,,,,,,
4月2日第6回図書館記念日,図書,館,記念,日,,,,,,,,,,,,,,,,
貯蓄増強中央委員会,貯蓄,増強,中央,委員,会,,,,,,,,,,,,,,,
生徒募集岐阜薬学専門学校,生徒,募集,岐阜,薬学,専門,学校,,,,,,,,,,,,,,
早稲田大学校外生の会,早稲田,大学,校外,生,会,,,,,,,,,,,,,,,
早稲田大学校外生の会,早稲田,大学,校外,生,会,,,,,,,,,,,,,,,
東京第一高等無線工科学校,東京,一,無線,工科,学校,,,,,,,,,,,,,,,
横浜専門学校,横浜,専門,学校,,,,,,,,,,,,,,,,,
給費生募集横浜専門学校,給費,生,募集,横浜,専門,学校,,,,,,,,,,,,,,
市立函館実修女学校,市,立,函館,修女,学校,,,,,,,,,,,,,,,
函館高等水産学校,函館,水産,学校,,,,,,,,,,,,,,,,,
皇学儒学大東文化学院,皇,学,儒学,大東,文化,学院,,,,,,,,,,,,,,
明治学院,明治,学院,,,,,,,,,,,,,,,,,,
給費生ヲ募集ス,給費,生,募集,,,,,,,,,,,,,,,,,
海軍志願兵募集,海軍,志願,兵,募集,,,,,,,,,,,,,,,,
学生募集,学生,募集,,,,,,,,,,,,,,,,,,
学校案内,学校,案内,,,,,,,,,,,,,,,,,,
愛刀週間,愛,刀,週間,,,,,,,,,,,,,,,,,
東京落語特選名流大会,東京,落語,特選,名流,大会,,,,,,,,,,,,,,,
高浜喜久義,高浜,喜久,義,,,,,,,,,,,,,,,,,
鎧なき騎士,鎧,騎士,,,,,,,,,,,,,,,,,,
世界一スミス冒険的宙返り飛行大会,世界,一,スミス,冒険,的,宙返り,飛行,大会,,,,,,,,,,,,
青函くに子大一座三十余名,青函,くに子,一座,名,,,,,,,,,,,,,,,,
帝都名流大演芸会,帝都,名流,演芸,会,,,,,,,,,,,,,,,,
陸軍特別大演習実況放送,陸軍,演習,実況,放送,,,,,,,,,,,,,,,,
祝　陸軍特別大演習,祝,陸軍,演習,,,,,,,,,,,,,,,,,
松前観光,松前,観光,,,,,,,,,,,,,,,,,,
辰悦丸箱館寄港,辰,悦,箱館,寄港,,,,,,,,,,,,,,,,
松前さくらまつり,松前,さくら,まつり,,,,,,,,,,,,,,,,,
映画　海猫,映画,海猫,,,,,,,,,,,,,,,,,,
松前城下時代まつり,松前,城下,時代,まつり,,,,,,,,,,,,,,,,
第6回函館夜景の日,函館,夜景,日,,,,,,,,,,,,,,,,,
成人祭　平成13年度,成人,祭,平成,,,,,,,,,,,,,,,,,
DIG災害図上訓練ネットワーク設立記念講演会,DIG,災害,図上,訓練,ネットワーク,設立,記念,講演,会,,,,,,,,,,,
2002はこだてクリスマスファンタジー,はこだて,クリスマス,ファンタジー,,,,,,,,,,,,,,,,,
2002　はこだてクリスマスファンタジー,はこだて,クリスマス,ファンタジー,,,,,,,,,,,,,,,,,
北海道イメージアップ,北海道,イメージ,アップ,,,,,,,,,,,,,,,,,
第10回記念2000函館ハーフマラソン大会交通規制,記念,函館,ハーフ,マラソン,大会,交通,規制,,,,,,,,,,,,,
新撰組　近藤勇,新撰,組,近藤,勇,,,,,,,,,,,,,,,,
広島東洋カープVS横浜ベイスターズ　セ・リーグ公式戦,広島,東洋,カープ,VS,横浜,ベイスターズ,セ・リーグ,公式,戦,,,,,,,,,,,
市制執行80年記念第15回　野外劇,市制,執行,記念,野外,劇,,,,,,,,,,,,,,,
函館みなとパネル展　平成13年度,函館,みなと,パネル,展,平成,,,,,,,,,,,,,,,
創作劇　炎の如く,創作,劇,炎,,,,,,,,,,,,,,,,,
函館みなとパネル展　平成14年版,函館,みなと,パネル,展,平成,版,,,,,,,,,,,,,,
北海道博,北海道,博,,,,,,,,,,,,,,,,,,
夕鶴,夕鶴,,,,,,,,,,,,,,,,,,,
北海道大博覧会,北海道,大,博覧,会,,,,,,,,,,,,,,,,
大阪日本万国博,大阪,日本,万国,博,,,,,,,,,,,,,,,,
東北北海道産業振興共進会,東北,北海道,産業,振興,共進,会,,,,,,,,,,,,,,
幽霊やしき,幽霊,しき,,,,,,,,,,,,,,,,,,
北海道博,北海道,博,,,,,,,,,,,,,,,,,,
北洋博,北洋,博,,,,,,,,,,,,,,,,,,
北海道博海の小樽会場,北海道,博海,小樽,会場,,,,,,,,,,,,,,,,
北洋博,北洋,博,,,,,,,,,,,,,,,,,,
北洋博,北洋,博,,,,,,,,,,,,,,,,,,
湯川温泉納凉まつり,湯川,温,泉納,凉,まつり,,,,,,,,,,,,,,,
北洋博函館カレンダー,北洋,博,函館,カレンダー,,,,,,,,,,,,,,,,
第１４回英語劇公演夏の夜の夢,英語,劇,公演,夏,夜,夢,,,,,,,,,,,,,,
ナンの悲劇,悲劇,,,,,,,,,,,,,,,,,,,
第9回英語劇の夕　聖者の泉,英語,劇,夕,聖者,泉,,,,,,,,,,,,,,,
第8回英語劇の夕　我等の町,英語,劇,夕,等,町,,,,,,,,,,,,,,,
NHK郷土芸能発表大会,NHK,郷土,芸能,発表,大会,,,,,,,,,,,,,,,
第7回英語劇の夕”御婦人は皆知っている”,英語,劇,夕,婦人,皆,,,,,,,,,,,,,,,
第15回函館地区高校演劇発表会,函館,地区,高校,演劇,発表,会,,,,,,,,,,,,,,
第一回発表会童話劇の集い,発表,会,童話,劇,集い,,,,,,,,,,,,,,,
第13回公演メドウサの首,公演,メドウサ,首,,,,,,,,,,,,,,,,,
第10回英語劇の夕ドーヴァー街道,英語,劇,夕,ドーヴァー,街道,,,,,,,,,,,,,,,
